noun,teplyj,goryachij,colour,code
теплица,79,10,#b8eabd,constr
некролог,79,10,#ae1e98,text
имя,79,10,#f85d3d,word
ботик,78,10,black,other
варежки,78,10,black,other
темень,78,10,#caecb5,light/neg
сердечность,78,10,black,other
шар,77,10,#995bc7,form
март,77,10,#7f25d8,time:month
чум,77,10,#b8eabd,constr
пальтишко,77,10,black,other
бал,76,10,#08c91a,action
помет,76,10,#c93008,stuff
рассказ,73,10,#7ba3e3,speech
веяние,73,10,#ee539b,move
рассвет,73,10,#1ac7ff,time
накидка,72,10,#2badea,tool:@bedding/linen
тишь,72,10,#55a325,sound/neg
шелест,72,10,#888d4a,sound
вторжение,71,10,black,other
доброта,71,10,#5dbda0,humq
полушалок,71,10,#af3e17,tool:cloth
шершавость,71,10,black,other
учреждение,71,10,#4732db,org
бочок,71,10,black,other
семья,71,10,#9017d9,hum
название,71,10,#6551f7,name
гранит,70,10,#c93008,stuff
автобус,70,10,#7cddba,tool:transp
удила,70,10,black,other
стихотворение,69,10,#ae1e98,text
быт,68,10,black,other
стан,68,10,#8e279f,tool/tool:device:@machine
чума,68,10,black,other
хрящ,68,10,#c93008,stuff
воскресение,68,10,#a4f81f,be:exist
прибой,68,10,#577db1,weather
музыка,67,10,#888d4a,sound
малица,67,10,#af3e17,tool:cloth
тушка,67,10,black,other
колыхание,67,10,black,other
безветрие,67,10,black,other
пазуха,67,10,#2abed1,space
м,67,10,black,other
юбка,67,10,#9017d9,hum
тамбур,67,10,#10658e,tool:mus
заботливость,66,10,black,other
промежуток,66,10,#8a4f42,dist
каморка,65,10,black,other
кошара,65,10,#ae7252,constr:@hut
бархат,65,10,#c93008,stuff
италия,65,10,black,other
вихор,65,10,#995bc7,form
плитка,65,10,#b71548,tool:device
никола,65,10,black,other
благоухание,64,10,#4c2d3f,smell
присутствие,64,10,#8a2ff0,org/space
джемпер,63,10,#af3e17,tool:cloth
прохлада,63,10,#1b5b97,temper
шлепанец,63,10,#ff69f2,tool:cloth:@boot
спокойствие,63,10,#efbb2b,psych:emot
хижина,63,10,#ae7252,constr:@hut
февраль,63,10,#7f25d8,time:month
желтизна,62,10,#f425a7,color
добыча,62,10,#08a4a5,poss
ряса,62,10,#af3e17,tool:cloth
серебро,62,10,#c93008,stuff
пимы,62,10,black,other
мастерская,61,10,#58901e,room
лапа,61,10,black,other
индия,61,10,black,other
пень,61,10,#9017d9,hum
приглашение,61,10,#ae1e98,text
характеристика,60,10,#ae1e98,text
кафель,60,10,black,other
рассадник,60,10,#443b5b,space/constr
ступенька,60,10,black,other
лъто,59,10,black,other
колготки,59,10,#af3e17,tool:cloth
вымя,59,10,black,other
пристройка,58,10,#b8eabd,constr
даль,58,10,#2abed1,space
мать,58,10,#9017d9,hum
контора,57,10,#4732db,org
салоп,57,10,#af3e17,tool:cloth
шлем,57,10,#b92300,tool/tool:cloth$
туша,57,10,#9017d9,hum
носочек,57,10,black,other
ноябрь,57,10,#7f25d8,time:month
цеп,57,10,#440845,tool:instr
чулан,57,10,#58901e,room
шорох,57,10,#888d4a,sound
келья,56,10,#58901e,room
дрема,56,10,#622344,physiol
лиса,56,10,#c93008,stuff
штанишки,56,10,black,other
отмель,56,10,#2abed1,space
посвящение,56,10,#ae1e98,text
лимонад,55,10,#00b7e6,stuff/food/liq
шарик,55,10,#1ee690,animal
тина,55,10,#0f0f0c,plant
близость,55,10,black,other
смерть,55,10,#e6753a,quant:max
кухонька,55,10,black,other
возок,55,10,#7cddba,tool:transp
окраска,54,10,#f425a7,color
щель,54,10,#443b5b,space/constr
кухлянка,54,10,#af3e17,tool:cloth
предбанник,54,10,#58901e,room
умиление,54,10,#efbb2b,psych:emot
лаваш,53,10,#e4c75c,food/изделие
сенцы,53,10,black,other
керосин,53,10,#94dd20,stuff/liq
мирок,53,10,#682522,group
браунинг,52,10,#262ca3,tool:weapon
алтарь,52,10,#443b5b,space/constr
борозда,52,10,#2abed1,space
трапеза,52,10,#3f56b0,food
мъгла,52,10,black,other
лапка,52,10,#18f17e,sign
ураган,51,10,#577db1,weather
украина,51,10,black,other
телец,51,10,#1ee690,animal
громада,51,10,#cedbd8,asp
шляпа,51,10,#9017d9,hum
голландка,51,10,#b71548,tool:device
шаровары,51,10,#af3e17,tool:cloth
диван,51,10,#632e34,tool:furn
сухмень,51,10,#c93008,stuff
пробор,51,10,#2abed1,space
меч,51,10,#262ca3,tool:weapon
шейка,51,10,black,other
башлык,50,10,#af3e17,tool:cloth
настроение,50,10,#2ec004,psych
язычок,50,10,#224f41,tool
вар,50,10,#c93008,stuff
улей,50,10,#224f41,tool
терраса,50,10,#2abed1,space
аномалия,50,10,black,other
бездна,49,10,#e6753a,quant:max
побережье,49,10,#2abed1,space
галоша,49,10,black,other
зимовье,49,10,#2abed1,space
пепелище,48,10,#2abed1,space
мелодия,48,10,black,other
внутренность,48,10,#2abed1,space
база,48,10,#4732db,org
веш,48,10,black,other
синь,48,10,#f425a7,color
половица,47,10,black,other
малина,47,10,#974312,space/room
чернозем,47,10,#c93008,stuff
ватерклозет,47,10,black,other
облачко,46,10,black,other
нужник,46,10,black,other
гостиная,46,10,#58901e,room
бокс,45,10,#58901e,room
прихожая,45,10,#10d372,room/tool:furn
фуражка,45,10,#af3e17,tool:cloth
посох,45,10,black,other
ущелие,45,10,black,other
вкус,45,10,#5dbda0,humq
баланс,45,10,#ae1e98,text
гардина,45,10,#6f84f3,tool:штора
огонечек,44,10,black,other
квартирка,44,10,black,other
зарево,44,10,#4c8d26,light
баритон,44,10,#10658e,tool:mus
объективность,44,10,black,other
ветерочек,44,10,black,other
учасйе,44,10,black,other
тряпье,43,10,black,other
доверие,43,10,black,other
корм,43,10,#bc6eb4,food:fodder
снежок,43,10,#224f41,tool
палуба,43,10,#5091c8,constr:настил
горшок,43,10,#224f41,tool
излучение,43,10,black,other
шелк,43,10,#c93008,stuff
иней,43,10,#c93008,stuff
расщелина,43,10,#2abed1,space
шкурка,43,10,#c93008,stuff
завалинка,42,10,#2abed1,space
блаженство,42,10,#efbb2b,psych:emot
кошка,42,10,#1ee690,animal
стог,42,10,black,other
чулочек,42,10,black,other
касание,42,10,black,other
душегрейка,42,10,#af3e17,tool:cloth
тулупчик,42,10,black,other
онуча,41,10,#af3e17,tool:cloth
рай,41,10,#2abed1,space
мелководье,41,10,#577db1,weather
записка,41,10,#ae1e98,text
словцо,41,10,#f85d3d,word
ломоть,41,10,#3f56b0,food
холод,41,10,#adeec7,manif:emot
купель,41,10,black,other
передняя,41,10,#58901e,room
заметка,41,10,#ae1e98,text
калифорния,41,10,black,other
ступень,41,10,#888d4a,sound
мякиш,40,10,#c93008,stuff
сад,40,10,#4732db,org
животное,40,10,#920dfc,hum$
голубизна,40,10,#f425a7,color
подстежка,40,10,black,other
куча,40,10,#e6753a,quant:max
баба,40,10,#9017d9,hum
комнатушка,40,10,black,other
материк,40,10,#2abed1,space
хоромы,40,10,#b8eabd,constr
парение,40,10,#ee539b,move
спор,10,37347,#b4ea8f,speech/inter
водоснабжение,10,31425,black,other
сторонник,10,23179,#9017d9,hum
прессование,10,22593,black,other
стремление,10,15858,#2ec004,psych
одобрение,10,15571,#7ba3e3,speech
поклонник,10,12699,#9017d9,hum
питание,10,12666,#3f56b0,food
штамповка,10,12575,black,other
патриот,10,11921,#9017d9,hum
призыв,10,9736,#08c91a,action
трещина,10,9735,#2abed1,space
дискуссия,10,8059,#7ba3e3,speech
завтрак,10,7890,#3f56b0,food
работа,10,7321,#ef3b43,workart/workmus/workdram/workcin/text
носитель,10,6563,#2f4515,support
защитник,10,6377,#9017d9,hum
приверженец,10,6162,#9017d9,hum
поборник,10,6145,#9017d9,hum
блюдо,10,5786,#3f56b0,food
дутье,10,5577,#ee539b,move
копчение,10,5555,#2e0bb6,food/блюдо/изделие
заинтересованность,10,5486,black,other
патриотизм,10,5126,black,other
линия,10,5030,#97dac2,unit
конь,10,4751,#224f41,tool
бой,10,4680,#9017d9,hum
обед,10,4473,#1ac7ff,time
защита,10,4461,#8c809f,inter:противодействие
протест,10,4370,#b4ea8f,speech/inter
спай,10,4287,black,other
атом,10,3941,black,other
схватка,10,3620,#552824,inter
преданность,10,3618,black,other
полемика,10,3510,#7ba3e3,speech
обсуждение,10,3509,black,other
пропагандист,10,3404,#209bff,hum/prof
темперамент,10,3123,black,other
просьба,10,2969,#7ba3e3,speech
война,10,2932,#552824,inter
частица,10,2920,black,other
уголья,10,2907,black,other
вселенная,10,2779,#2abed1,space
дебаты,10,2707,#7ba3e3,speech
деньги,10,2692,#3893ac,money
прения,10,2625,#7ba3e3,speech
дело,10,2541,#4732db,org
компонент,10,2527,black,other
вулканизация,10,2475,black,other
почитатель,10,2473,#9017d9,hum
цинкование,10,2408,black,other
гигант,10,2394,#9017d9,hum
борьба,10,2371,#3e06f8,sport
прокат,10,2348,#91048a,impact/move
энтузиазм,10,2227,#2ec004,psych
лошадь,10,2076,#920dfc,hum$
дырка,10,2031,#2abed1,space
сковорода,10,2025,#e415d5,tool:dish
ненависть,10,1953,black,other
ковка,10,1951,black,other
проповедь,10,1936,#7ba3e3,speech
натура,10,1918,#209bff,hum/prof
сушка,10,1801,#3e805c,changest
люминесценция,10,1794,black,other
убежденность,10,1751,black,other
твердость,10,1748,black,other
увлечение,10,1716,#efbb2b,psych:emot
ион,10,1661,black,other
ремонт,10,1649,#8c235b,изменение:каузация
сосиска,10,1626,#e4c75c,food/изделие
продукт,10,1612,#3f56b0,food
противник,10,1610,#87b16a,hum/org
солидарность,10,1606,#49a740,inter:содействие
деформирование,10,1599,black,other
резерв,10,1545,#9017d9,hum
сковородка,10,1524,black,other
блин,10,1524,#aae15f,food/блюдо
катод,10,1418,black,other
шоколад,10,1387,#00b7e6,stuff/food/liq
страсть,10,1343,#5dd39a,workmus
закуска,10,1330,#aae15f,food/блюдо
убеждение,10,1303,#753341,ment
экстракция,10,1291,black,other
посадка,10,1240,#cedbd8,asp
момент,10,1234,#669519,time:moment
битум,10,1227,#c93008,stuff
последователь,10,1199,#9017d9,hum
жажда,10,1194,#efbb2b,psych:emot
энтузиаст,10,1184,#9017d9,hum
резка,10,1175,#1f65f7,impact:деление на части
отверждение,10,1132,black,other
поклонница,10,1129,black,other
выступление,10,1051,#7ba3e3,speech
вражда,10,1039,#552824,inter
пуля,10,1019,#9ccfdf,tool:@shell
модель,10,1005,#209bff,hum/prof
признание,10,986,#7ba3e3,speech
этанол,10,952,black,other
лужение,10,942,black,other
уголек,10,916,black,other
приверженность,10,863,black,other
картофелина,10,834,#f7bf36,fruit/food
лава,10,816,#a27545,move:body
слиток,10,810,black,other
кипяток,10,795,#9017d9,hum
спора,10,788,black,other
боль,10,769,#622344,physiol
агломерат,10,759,black,other
друг,10,740,#9017d9,hum
нефть,10,717,#94dd20,stuff/liq
мечта,10,715,#753341,ment
картофель,10,708,#0f0f0c,plant
экструзия,10,688,black,other
выдавливание,10,681,black,other
скакун,10,680,#920dfc,hum$
похвала,10,680,#7ba3e3,speech
экситон,10,659,black,other
самовар,10,658,#02ce36,tool:dish$/tool:device
корона,10,648,#7e9b47,tool:cloth$
сверхгигант,10,644,black,other
простой,10,641,black,other
проповедник,10,639,#9017d9,hum
щелочь,10,635,#c93008,stuff
протестант,10,635,#9017d9,hum
монолог,10,625,#ae1e98,text
штамп,10,618,#18f17e,sign
уста,10,612,black,other
овация,10,609,#888d4a,sound
формование,10,605,black,other
сбитень,10,600,#00b7e6,stuff/food/liq
шлак,10,593,#c93008,stuff
теплоноситель,10,583,black,other
электрод,10,555,#224f41,tool
литье,10,552,#db113d,impact:обработка
отповедь,10,550,#7ba3e3,speech
возражение,10,545,#7ba3e3,speech
увлеченность,10,543,black,other
розлив,10,536,#be981e,put
сторонница,10,532,black,other
готовность,10,525,black,other
стакан,10,520,#e415d5,tool:dish
воображение,10,516,#753341,ment
пластина,10,514,#995bc7,form
накатка,10,510,black,other
фотолюминесценция,10,507,black,other
пунш,10,505,#00b7e6,stuff/food/liq
пластичность,10,498,black,other
флюид,10,497,black,other
высадка,10,476,black,other
гексан,10,476,black,other
молодежь,10,475,black,other
ход,10,467,#2abed1,space
перестрелка,10,452,#552824,inter
предмет,10,452,#753341,ment
ревность,10,449,#5dbda0,humq
хлороформ,10,444,#94dd20,stuff/liq
заготовка,10,441,#5f5ade,thing
диспут,10,437,#7ba3e3,speech
чугун,10,431,#e415d5,tool:dish
какао,10,427,#00b7e6,stuff/food/liq
нить,10,426,#995bc7,form
щелок,10,422,#c93008,stuff
нетерпение,10,417,#2ec004,psych
тиснение,10,405,#3dca26,pattern
подложка,10,402,black,other
фильтрование,10,400,black,other
нож,10,396,#b8030c,tool:instr/tablesetting
брикетирование,10,395,black,other
гильза,10,392,black,other
радикал,10,389,#9017d9,hum
проволока,10,388,#c93008,stuff
охотник,10,383,#9017d9,hum
кислота,10,372,#9e5250,taste
мантия,10,364,#c93008,stuff
событие,10,362,black,other
обмен,10,358,#552824,inter
обкатка,10,356,black,other
процесс,10,352,#4f64bb,manif:disease
тирада,10,351,#ae1e98,text
тема,10,344,black,other
деятельность,10,342,black,other
юноша,10,338,#9017d9,hum
кушанье,10,337,#aae15f,food/блюдо
субкарлик,10,334,black,other
капли,10,333,#94dd20,stuff/liq
пыл,10,333,#c93008,stuff
котел,10,331,#2abed1,space
погружение,10,331,black,other
испытание,10,328,#08c91a,action
воодушевление,10,326,black,other
щипцы,10,324,#440845,tool:instr
чашка,10,321,#995bc7,form
веник,10,316,#440845,tool:instr
сварка,10,312,black,other
баланда,10,311,black,other
возмущение,10,304,#efbb2b,psych:emot
кокс,10,301,#c93008,stuff
пульс,10,300,#622344,physiol
накатывание,10,300,black,other
вытяжка,10,299,#c93008,stuff
нефтепродукт,10,290,black,other
молекула,10,290,black,other
вопрос,10,285,#753341,ment
страстность,10,284,black,other
правка,10,282,#ae1e98,text
маринад,10,281,#aae15f,food/блюдо
пресс,10,280,#224f41,tool
новость,10,280,#7ba3e3,speech
промперегрев,10,279,black,other
борец,10,275,#9017d9,hum
объяснение,10,271,#753341,ment
бублик,10,270,#e4c75c,food/изделие
рвение,10,269,#5dbda0,humq
отзвук,10,269,#888d4a,sound
трубопровод,10,268,#f068e9,constr/tool:device
фотоэлектрон,10,268,black,other
облагораживание,10,267,black,other
жеребец,10,261,#920dfc,hum$
объем,10,259,#696451,param
посад,10,256,#2abed1,space
калач,10,255,#e4c75c,food/изделие
восторг,10,254,#efbb2b,psych:emot
труд,10,254,#ae1e98,text
оладья,10,252,#e4c75c,food/изделие
тоска,10,249,#efbb2b,psych:emot
страда,10,249,black,other
спутник,10,248,#b71548,tool:device
любитель,10,245,#9017d9,hum
восхищение,10,245,#efbb2b,psych:emot
прессовка,10,243,black,other
олифа,10,240,#c93008,stuff
оснастка,10,237,#8c235b,изменение:каузация
юность,10,236,#a5294d,time:age
наклеп,10,233,black,other
колбаса,10,232,#995bc7,form
отпор,10,230,#8c809f,inter:противодействие
чаек,10,229,black,other
глинтвейн,10,226,#00b7e6,stuff/food/liq
негодование,10,222,black,other
сера,10,222,#c93008,stuff
шопот,10,221,black,other
фенол,10,216,#c93008,stuff
клятва,10,214,#7ba3e3,speech
толуол,10,213,black,other
решимость,10,211,#ea2629,psych:volit
каштан,10,210,#f7bf36,fruit/food
заступничество,10,210,#49a740,inter:содействие
оптимист,10,204,#9017d9,hum
фонон,10,203,black,other
возврат,10,201,black,other
народ,10,201,black,other
толк,10,199,#753341,ment
сепарация,10,198,black,other
взволнованность,10,198,black,other
банка,10,194,#224f41,tool
сражение,10,193,#552824,inter
навивка,10,191,black,other
клещи,10,191,#995bc7,form
грог,10,191,#00b7e6,stuff/food/liq
ревнитель,10,190,#9017d9,hum
магма,10,189,#c93008,stuff
бензин,10,185,#94dd20,stuff/liq
излияние,10,183,#7ba3e3,speech
мотор,10,181,#b71548,tool:device
эмоциональность,10,179,black,other
соль,10,175,#c93008,stuff
революционер,10,174,#9017d9,hum
уверение,10,173,black,other
олово,10,170,#c93008,stuff
гвоздь,10,163,#224f41,tool
образец,10,161,#9017d9,hum
атака,10,158,#552824,inter
фантазия,10,156,#5dd39a,workmus
восклицание,10,150,#cca252,speech/manif:emot
битва,10,149,black,other
задор,10,146,#fbebdf,behav
азарт,10,145,#2ec004,psych
перепалка,10,145,#b4ea8f,speech/inter
плов,10,142,#fd3508,stuff/food
заливка,10,141,black,other
алкоголь,10,139,#00b7e6,stuff/food/liq
мазут,10,136,#c93008,stuff
влюбленность,10,134,black,other
вздох,10,131,#622344,physiol
мастика,10,131,#c93008,stuff
адепт,10,130,#9017d9,hum
лаборатория,10,128,#4732db,org
пристрастие,10,127,#707c6e,psych:emot?
граница,10,127,#742b6d,предел
пустыня,10,125,#2abed1,space
обещание,10,125,#7ba3e3,speech
собака,10,125,#1ee690,animal
каменка,10,125,black,other
всад,10,124,black,other
деформируемость,10,123,black,other
расплав,10,122,#c93008,stuff
проба,10,122,#c93008,stuff
стычка,10,122,#552824,inter
гибка,10,121,black,other
довод,10,120,#d19588,speech/ment
уверенность,10,120,#753341,ment
иголка,10,120,#f1c5e4,hair$
калибровка,10,119,black,other
баранина,10,118,#fd3508,stuff/food
пробка,10,118,#241f5d,tool/tool:device
аммиак,10,118,#c93008,stuff
рукоплескание,10,118,black,other
обруч,10,118,#224f41,tool
уха,10,118,#2f597c,stuff/food/liq/блюдо
свалка,10,116,#552824,inter
поклонение,10,116,black,other
завивка,10,115,#a81a64,impact
отзывчивость,10,114,black,other
толпа,10,113,#682522,group
оружие,10,109,#262ca3,tool:weapon
растворитель,10,109,#c93008,stuff
смрад,10,107,#c93008,stuff
ссора,10,107,#b4ea8f,speech/inter
производство,10,107,#a63ea2,impact$@:creat
муть,10,106,#c93008,stuff
беспокойство,10,106,#2ec004,psych
вспышка,10,106,#85ebba,tool:device:@light
сгусток,10,102,black,other
бутерброд,10,101,#e4c75c,food/изделие
ватрушка,10,101,#e4c75c,food/изделие
оптимизм,10,100,black,other
апологет,10,100,#9017d9,hum
эмоция,10,100,#efbb2b,psych:emot
упрек,10,99,#cca252,speech/manif:emot
гейзер,10,99,#2abed1,space
воля,10,98,#588327,psych:volit/space
фонтан,10,97,#28f1b3,tool:device/constr
служение,10,94,black,other
моление,10,93,#7ba3e3,speech
республиканец,10,91,#9017d9,hum
столб,10,90,#b8eabd,constr
тарелка,10,89,#10658e,tool:mus
нападение,10,89,#4df2db,воздействие на человека
ожидание,10,86,#753341,ment
тракт,10,79,#2abed1,space
поспешность,10,78,black,other
поклон,10,77,#7ba3e3,speech
распыление,10,77,black,other
член,10,77,#f85d3d,word
сердечко,10,77,#995bc7,form
объект,10,77,#5f5ade,thing
нефтепровод,10,76,#b8eabd,constr
дума,10,76,#4732db,org
сало,10,76,#c93008,stuff
полка,10,76,#a81a64,impact
что,10,76,black,other
яичница,10,76,#aae15f,food/блюдо
отстаивание,10,76,black,other
критика,10,76,black,other
убедительность,10,75,black,other
азот,10,75,#c93008,stuff
пончик,10,74,#e4c75c,food/изделие
командир,10,74,#9017d9,hum
сочув,10,74,black,other
хвала,10,74,black,other
очистка,10,74,#3e805c,changest
резание,10,74,black,other
поединок,10,74,#552824,inter
взрыв,10,74,#fe0828,manif
возглас,10,74,#888d4a,sound
одушевление,10,74,black,other
патрютизм,10,73,black,other
барда,10,73,#c93008,stuff
червонец,10,73,#5399af,money:banknote
стыд,10,73,#efbb2b,psych:emot
лапша,10,73,#00b7e6,stuff/food/liq
сланец,10,72,#c93008,stuff
чугунок,10,72,#e415d5,tool:dish
цилиндр,10,72,#af3e17,tool:cloth
прямодушие,10,72,black,other
удушье,10,72,#622344,physiol
сопротивление,10,72,#8c809f,inter:противодействие
подкова,10,72,#995bc7,form
водосиабжеиия,10,72,black,other
недра,10,72,#2abed1,space
батик,10,72,black,other
паренек,10,71,black,other
ум,10,71,#9017d9,hum
реплика,10,71,#ae1e98,text
согласие,10,71,#552824,inter
удар,10,71,#ec46e4,move?
сле,10,71,black,other
рубка,10,70,#a81a64,impact
клинкер,10,70,#ca2427,stuff/stone
растрескивание,10,70,black,other
агитация,10,69,#7ba3e3,speech
глоток,10,69,black,other
огарок,10,69,#5f5ade,thing
понтер,10,69,black,other
эмаль,10,69,#c93008,stuff
торкретирование,10,69,black,other
крышка,10,69,#e6781d,be:disapp
выброс,10,69,black,other
вальцовка,10,68,#440845,tool:instr
подкат,10,68,black,other
головушка,10,68,black,other
сожаление,10,68,#efbb2b,psych:emot
клей,10,68,#c93008,stuff
участйе,10,68,black,other
ветчина,10,67,#93b474,stuff/food/изделие
идея,10,67,#753341,ment
фильтрация,10,67,#577db1,weather
проковка,10,67,black,other
зуд,10,67,#ea2629,psych:volit
насос,10,67,#b71548,tool:device
кисель,10,67,#fd3508,stuff/food
взморье,10,67,#2abed1,space
укол,10,67,#7ba3e3,speech
суховей,10,66,#577db1,weather
шаньга,10,66,black,other
говор,10,66,#6d93d1,язык
любопытство,10,66,#5dbda0,humq
жало,10,66,black,other
оцинковка,10,66,black,other
ксилол,10,66,black,other
оболочка,10,66,#c93008,stuff
карлус,10,66,black,other
пилигримова,10,65,black,other
резина,10,65,#c93008,stuff
разлив,10,65,#577db1,weather
сливки,10,65,#fd3508,stuff/food
уговор,10,65,#552824,inter
товарищ,10,64,#9017d9,hum
варение,10,64,black,other
сочувствге,10,64,black,other
прошивка,10,64,#9c82d8,workart
фильтрат,10,64,black,other
сластена,10,64,#9017d9,hum
выходка,10,64,black,other
прыткость,10,64,black,other
чурек,10,64,#e4c75c,food/изделие
злоба,10,64,#efbb2b,psych:emot
конденсат,10,64,#c93008,stuff
термы,10,64,black,other
студинг,10,64,black,other
хлебово,10,63,#00b7e6,stuff/food/liq
деготь,10,63,#c93008,stuff
шквал,10,63,#0ac6ba,manif/quant:max
опробование,10,63,black,other
факт,10,63,#753341,ment
зов,10,63,#7ba3e3,speech
жилка,10,63,black,other
совет,10,62,#4732db,org
о,10,62,black,other
пюре,10,62,#fd3508,stuff/food
гудрон,10,62,#c93008,stuff
правда,10,62,#753341,ment
участге,10,62,black,other
сосуд,10,62,#e415d5,tool:dish
медь,10,62,#c93008,stuff
сусло,10,62,#94dd20,stuff/liq
нейтрон,10,62,black,other
отвердение,10,62,black,other
лобзание,10,61,black,other
экструдирование,10,61,black,other
проблема,10,61,#753341,ment
порода,10,61,#c93008,stuff
импровизация,10,61,#5dd39a,workmus
окурок,10,61,#5f5ade,thing
окатыш,10,61,black,other
жизнелюбие,10,60,black,other
гренок,10,60,black,other
молодость,10,60,#a5294d,time:age
будни,10,60,#bf5247,time:week
вила,10,60,black,other
травление,10,60,black,other
формообразование,10,60,black,other
сургуч,10,60,#c93008,stuff
говядина,10,60,#fd3508,stuff/food
союзник,10,60,#87b16a,hum/org
вата,10,60,#c93008,stuff
жеребчик,10,60,black,other
диск,10,59,#49e4ee,tool/supporttext$
сплав,10,59,#c93008,stuff
склеивание,10,59,black,other
патрют,10,59,black,other
це,10,59,black,other
рыба,10,59,#ae1e98,text
прессоваиия,10,59,black,other
автомат,10,58,#262ca3,tool:weapon
резервирование,10,58,black,other
религиозность,10,58,black,other
утверждение,10,58,#7ba3e3,speech
настояние,10,58,#7ba3e3,speech
спешка,10,58,#fbebdf,behav
пропаганда,10,58,black,other
вальцы,10,58,#224f41,tool
замашка,10,58,#fbebdf,behav
бред,10,57,#7ba3e3,speech
смазка,10,57,#c93008,stuff
изостатич,10,57,black,other
драма,10,57,#ae1e98,text
баранка,10,57,#224f41,tool
памфлет,10,57,#ae1e98,text
суспензия,10,57,#94dd20,stuff/liq
рекомендация,10,56,#7ba3e3,speech
мурашки,10,56,black,other
грех,10,56,black,other
повод,10,56,#224f41,tool
помощь,10,56,#9017d9,hum
ругань,10,56,#b4ea8f,speech/inter
дельце,10,56,black,other
натиск,10,55,#ee539b,move
нападки,10,55,black,other
прес,10,55,black,other
пелена,10,55,#c93008,stuff
заявление,10,55,#ae1e98,text
месиво,10,55,#fb2c18,stuff/food:fodder
понимание,10,55,#753341,ment
темп,10,55,#cead8d,speed/param
хмель,10,55,#622344,physiol
враг,10,55,#38c719,hum:supernat
набор,10,54,#e5894c,access
вареник,10,54,black,other
дорожка,10,54,#224f41,tool
участник,10,54,#9017d9,hum
тре,10,54,black,other
кастрюля,10,54,#e415d5,tool:dish
мостовая,10,54,#2abed1,space
помои,10,54,#c93008,stuff
современность,10,54,#1ac7ff,time
дихлорэтан,10,54,black,other
норов,10,54,black,other
макароны,10,53,#aae15f,food/блюдо
мак,10,53,#c93008,stuff
око,10,53,black,other
пиридин,10,53,black,other
прах,10,53,#c93008,stuff
ложка,10,53,#10658e,tool:mus
мужик,10,53,#9017d9,hum
слойка,10,53,#e4c75c,food/изделие
диметилформамид,10,53,black,other
этилацетат,10,53,black,other
мыло,10,53,#c93008,stuff
ритм,10,53,black,other
заверение,10,52,black,other
агент,10,52,#9017d9,hum
двигатель,10,52,#b71548,tool:device
гравий,10,52,#c93008,stuff
топка,10,52,#1f9ace,impact?
бидистиллят,10,52,black,other
обличение,10,52,black,other
буря,10,52,#fe0828,manif
диалог,10,52,#7ba3e3,speech
парафин,10,52,#c93008,stuff
возбуждение,10,52,black,other
припарки,10,51,black,other
полынь,10,51,#0f0f0c,plant
рис,10,51,#0f0f0c,plant
стружка,10,51,#c93008,stuff
иван,10,51,black,other
кофейник,10,51,#e415d5,tool:dish
проводник,10,51,#209bff,hum/prof
жизненность,10,51,black,other
руда,10,51,#c93008,stuff
десятка,10,51,#5399af,money:banknote
чаяние,10,51,#753341,ment
спорщик,10,51,#9017d9,hum
противень,10,51,#e415d5,tool:dish
утешение,10,51,black,other
защитница,10,50,black,other
оно,10,50,black,other
хачапури,10,50,black,other
мужчина,10,50,#9017d9,hum
набожность,10,50,black,other
комсомолец,10,50,#9017d9,hum
сопереживание,10,50,black,other
хлопоты,10,50,black,other
накал,10,50,black,other
оппозиция,10,50,#682522,group
изъявление,10,49,black,other
метод,10,49,black,other
пляж,10,49,#2abed1,space
ступня,10,49,black,other
сидение,10,49,black,other
яд,10,49,#c93008,stuff
выкрик,10,49,black,other
молчание,10,49,black,other
гром,10,49,#577db1,weather
телефон,10,49,#ae1e98,text
стук,10,49,#bc7478,sound:@asp
раскаяние,10,49,#efbb2b,psych:emot
публицистика,10,48,black,other
баранок,10,48,black,other
шихта,10,48,#c93008,stuff
клещ,10,48,#1ee690,animal
приварок,10,48,#3f56b0,food
охота,10,48,#ea2629,psych:volit
большевичка,10,47,black,other
кок,10,47,#209bff,hum/prof
оппонент,10,47,#9017d9,hum
агитатор,10,47,#209bff,hum/prof
семя,10,47,#c93008,stuff
профессия,10,47,black,other
головня,10,47,#5f5ade,thing
укоризна,10,47,black,other
непосредственность,10,47,black,other
полиэтилен,10,47,black,other
коврига,10,47,#e4c75c,food/изделие
печаль,10,47,#efbb2b,psych:emot
шоссе,10,47,#2abed1,space
навар,10,47,#590aa4,poss:приобретение
опор,10,47,#c6e27d,?
солнцепек,10,47,#2abed1,space
зрачок,10,47,black,other
сайка,10,47,#e4c75c,food/изделие
усилие,10,47,#c6e27d,?
подшипник,10,46,black,other
панегирик,10,46,#7ba3e3,speech
сухость,10,46,black,other
астеносфера,10,46,black,other
вальцевание,10,46,black,other
камешек,10,46,black,other
полушепот,10,46,black,other
тент,10,46,#224f41,tool
сарделька,10,46,#e4c75c,food/изделие
лавина,10,46,#e6753a,quant:max
жесть,10,46,#c93008,stuff
банька,10,46,black,other
вдохновение,10,46,#2ec004,psych
искание,10,46,#753341,ment
опилки,10,46,black,other
мальчик,10,45,#1f6996,animal$
в,10,45,black,other
публицистичность,10,45,black,other
инструмент,10,45,#10658e,tool:mus
котелок,10,45,#af3e17,tool:cloth
