noun,humid,damp,translation
smear,10,118,мазать
drapery,10,118,драпировка
entrance,10,118,вход
slime,10,117,слизь
pastry,10,117,кондитерский
belly,10,117,живот
increase,10,117,увеличение
grayness,10,117,серость
creek,10,116,крик
wick,10,114,фитиль
doth,10,114,ли
bosom,10,113,грудь
sweatshirt,10,113,толстовка
chapel,10,113,часовня
door,10,113,дверь
bagasse,10,113,багасс
hearth,10,112,очаг
snowflake,10,112,снежинка
toothbrush,10,112,зубная щетка
hiding,10,112,прятаться
sward,10,112,дёрн
ness,10,112,несса
cemetery,10,112,кладбище
nylon,10,112,нейлон
hanky,10,110,хэнка
chestnut,10,110,каштан
stickiness,10,110,липкость
sol,10,109,соль
squid,10,109,кальмар
porch,10,109,крыльцо
driftwood,10,109,коряга
break,10,109,перерыв
chin,10,108,подбородок
structure,10,108,структура
brown,10,107,коричневый
clover,10,107,клевер
ooze,10,107,ил
pussy,10,107,киска
check,10,106,проверить
matting,10,106,матирование
adobe,10,106,компания adobe
birch,10,105,берёза
swimming,10,105,плавание
platform,10,105,платформа
baking,10,105,выпечка
family,10,105,семья
satin,10,105,сатина
foxhole,10,104,окопчик
soap,10,104,мыло
solitude,10,104,одиночество
moorland,10,104,вересковая пустошь
shift,10,103,сдвиг
gold,10,103,золото
violet,10,103,вайогод
car,10,103,автомобиль
shell,10,102,оболочка
store,10,101,магазин
man,10,101,человек
lettuce,10,101,салат
wrist,10,100,наручный
ware,10,100,изделие
slate,10,100,шифер
printing,10,100,печать
underclothes,10,100,нижнее бельё
tennis,10,99,теннис
hammock,10,98,гамак
smudge,10,98,мазаться
triangle,10,98,треугольник
spiral,10,98,спираль
treatment,10,97,лечение
seeps,10,97,просачиваться
brushwood,10,97,хворост
tear,10,97,слеза
moustache,10,97,уса
right,10,97,право
cinder,10,96,гаревый
meal,10,96,питание
tarmac,10,96,асфальт
meadowland,10,96,медоуленд
trickle,10,96,ручеёк
knife,10,96,нож
needle,10,96,игла
run,10,95,запустить
peatmoss,10,95,peatmoss
rye,10,95,рожь
stucco,10,95,лепнина
nape,10,95,зашеек
shaft,10,95,вал
camp,10,95,лагерь
hedgerow,10,94,оверлорд
damage,10,94,повреждение
tower,10,94,башня
underground,10,94,метро
lint,10,94,линт
Paris,10,94,париж
miasma,10,94,миазмы
humidity,10,93,влажность
topsoil,10,93,почва
lamp,10,93,лампа
filth,10,93,мразь
undershirt,10,93,майк
sandstone,10,93,песчаник
oakwoods,10,92,oakwoods
flight,10,92,рейс
penetrates,10,92,проникать
everything,10,92,весь
workshop,10,92,мастерский
toe,10,91,носка
rifle,10,91,винтовка
muck,10,91,гадость
gear,10,91,шестерня
decaying,10,91,загнивать
companion,10,91,компаньон
cocktail,10,90,коктейль
fruit,10,90,фрукт
mash,10,90,маш
slack,10,90,слабина
Mother,10,90,мать
pathway,10,90,путь
presence,10,90,присутствие
consistency,10,90,последовательность
Mixtures,10,89,смесь
herb,10,89,трава
pitch,10,89,пол
bonnet,10,89,капот
bra,10,89,бюстгальтер
desolation,10,88,запустение
staining,10,88,окрашивание
cluster,10,88,кластер
opening,10,88,открытие
residence,10,88,место жительство
lead,10,88,свинец
stagnation,10,88,застой
copper,10,87,медь
Recovering,10,87,восстановление
confetti,10,87,конфетти
lady,10,87,леди
torso,10,86,туловище
shred,10,86,лоскуток
glen,10,86,глен
slip,10,86,скольжение
cape,10,85,мыс
musk,10,85,мускус
length,10,85,длина
men,10,85,мужчина
Earth,10,85,земля
catacomb,10,85,катакомба
outline,10,84,контур
bodice,10,84,лиф
clutch,10,84,клатч
love,10,84,любовь
ice,10,84,лёд
packet,10,83,пакет
stairway,10,83,лестница
highway,10,83,шоссе
woodwork,10,83,столярка
alder,10,83,ольха
carpeting,10,83,ковролин
web,10,83,веб
fireplace,10,83,камин
pen,10,83,ручка
tuft,10,83,хохолок
roller,10,83,ролик
fungus,10,83,грибок
crease,10,83,залом
ing,10,83,инга
knot,10,83,узел
slit,10,83,щелевой
railing,10,82,перила
midnight,10,82,полночь
fagot,10,82,фагот
mackintosh,10,82,макинтош
planking,10,82,планкинг
figure,10,82,рис.
business,10,82,бизнес
floorboard,10,82,половица
wrap,10,81,обертывание
dollar,10,81,доллар
burial,10,81,захоронение
breech,10,81,казённик
india,10,81,индия
bikini,10,81,бикини
shower,10,81,душа
steaming,10,81,пропаривание
underpants,10,80,трус
hankie,10,80,платок
crumb,10,80,мякиш
jute,10,79,джут
lichen,10,79,ягель
morass,10,79,трясина
greyness,10,79,серость
creature,10,79,существо
saw,10,79,видеть
shaving,10,79,бритьё
village,10,79,деревня
blotch,10,79,нашлёпка
Weather,10,79,погода
tank,10,79,танк
grit,10,78,грита
snap,10,78,оснастка
sage,10,78,мудрец
accommodation,10,78,проживание
counter,10,78,счётчик
color,10,77,цвета
rut,10,77,колейность
bonfire,10,77,костёр
snout,10,77,рыло
enthusiasm,10,77,энтузиазм
heaviness,10,77,тяжесть
arises,10,77,возникать
top,10,76,топ
change,10,76,изменение
garret,10,76,гаррет
point,10,76,точка
t,10,76,том
swim,10,75,плавать
plaid,10,75,плед
sheepskin,10,75,овчина
lap,10,75,круг
emptiness,10,75,пустота
archway,10,75,арка
verdure,10,75,зелень
feature,10,75,характеристика
lining,10,75,подкладка
wine,10,75,вино
bandana,10,75,бандать
despair,10,75,отчаяние
waistcoat,10,74,жилет
humanity,10,74,человечество
toast,10,73,тост
raffia,10,73,рафия
Explosions,10,73,взрыв
detector,10,73,детектор
rim,10,73,обод
stony,10,73,стоунь
rose,10,73,роза
braid,10,73,оплётка
experience,10,73,опыт
sex,10,72,секс
shine,10,72,блеск
produce,10,72,производить
whitewash,10,72,побелка
bead,10,72,шарик
cutting,10,72,резка
chlorine,10,72,хлор
beech,10,72,бук
cow,10,72,корова
oscillation,10,72,колебание
Commandments,10,71,заповедь
spleen,10,71,сплин
towelling,10,71,полотенечный
camel,10,71,верблюд
melancholy,10,71,меланхолия
oblivion,10,70,обливиона
protection,10,70,защита
nightshirt,10,70,рубашка
mitten,10,70,варежка
disarray,10,70,непорядок
cot,10,70,детская кроватка
notebook,10,69,ноутбук
reception,10,69,приём
funnel,10,69,воронка
fortress,10,69,крепость
compartment,10,69,отсечь
card,10,69,карта
habit,10,69,привычка
flooring,10,69,полый
linoleum,10,69,линолеум
makeup,10,68,макияж
mustache,10,68,уса
poultice,10,68,припарка
greatcoat,10,68,шинель
stink,10,68,вонь
shack,10,68,шацк
seep,10,68,просочиться
rising,10,68,рост
equipment,10,68,оборудование
cut,10,68,вырезать
upholstery,10,68,обивка
information,10,67,информация
muscle,10,67,мышца
redwood,10,67,редвуд
cartridge,10,67,картридж
forelock,10,67,чуб
cattle,10,67,крупный рогатый скот
blottingpaper,10,67,blottingpaper
prevention,10,66,профилактика
undergarment,10,66,нижнее бельё
thud,10,66,стук
start,10,66,начать
dung,10,66,кизяк
moccasin,10,66,мокасин
hoof,10,66,копыто
mildew,10,66,милдью
lodge,10,66,лодж
sill,10,66,силла
vessel,10,66,судно
whisker,10,66,ус
stem,10,65,стебель
Night,10,65,ночь
wadding,10,65,ватин
imprisonment,10,65,лишения свобода
stall,10,65,заглохнуть
shit,10,65,говно
butterfly,10,65,бабочка
dining,10,65,кафе
bolus,10,65,болюс
drift,10,64,дрифт
dreariness,10,64,мрачность
screen,10,64,экран
petticoat,10,64,подъюбник
news,10,64,новость
mask,10,63,маска
gelatine,10,63,желатина
tatter,10,63,лохмотья
drizzling,10,63,моросить
chicken,10,63,курица
painting,10,63,живопись
charge,10,63,заряд
hug,10,63,хуг
trip,10,63,поездка
tail,10,63,хвост
while,10,63,а
texture,10,63,текстура
bamboo,10,62,бамбук
bough,10,62,сука
orchard,10,62,орчард
rawness,10,62,саднение
barley,10,62,ячмень
seam,10,62,шов
loft,10,62,лофт
net,10,62,чистый
waterproof,10,62,водонепроницаемый
soak,10,62,мочить
rooting,10,62,болеть
crown,10,62,корона
taste,10,62,вкус
footstep,10,62,подножка
money,10,61,деньга
sludge,10,61,шуга
beauty,10,61,красота
canopy,10,61,сени
riverside,10,61,риверсайда
sandal,10,61,сандал
accumulates,10,61,копиться
affliction,10,61,попускать
harvest,10,61,урожай
confinement,10,61,заключение
villa,10,61,вилла
fleece,10,61,флис
hemp,10,61,пенька
grey,10,60,серый
will,10,60,быть
banana,10,60,банан
sadness,10,60,печаль
background,10,59,фон
beer,10,59,пиво
studio,10,59,студия
cord,10,59,шнур
handful,10,59,горстка
footgear,10,59,ботинок
plastic,10,59,пластик
ponytail,10,58,хвостик
mopped,10,58,расхлёбывать
bite,10,58,укус
gun,10,58,пистолет
pyjama,10,58,пижамный
underwood,10,58,андервуд
glue,10,58,клеить
flush,10,58,врезной
calico,10,58,бязь
hood,10,58,капот
breathing,10,58,дыхание
footpath,10,58,тропинка
stubble,10,58,стернь
cage,10,58,клетка
cathedral,10,58,собор
jar,10,57,банка
set,10,57,набор
deal,10,57,интернет
load,10,57,нагрузка
hairline,10,57,волосяный покров
bird,10,57,птица
alleyway,10,57,переулок
shrub,10,57,кустарник
company,10,57,компания
garbage,10,57,мусор
seaside,10,57,побережье
vest,10,57,жилет
greaseproof,10,57,жиронепроницаемый
stock,10,57,акция
clamminess,10,56,липкость
maize,10,56,кукуруза
saline,10,56,физраствор
withers,10,56,холка
chair,10,56,стул
casting,10,56,кастинг
whisper,10,56,шёпот
corduroy,10,55,вельвет
lumber,10,55,оптовый
fodder,10,55,фураж
remnant,10,55,обмылок
billet,10,55,заготовка
self,10,55,самостоятельно
stomach,10,55,желудок
roadway,10,55,проезжей часть
lie,10,55,ложь
frond,10,55,фронда
being,10,55,быть
nightdress,10,55,ночная рубашка
serge,10,55,серега
abyss,10,55,пропасть
costume,10,55,костюм
coke,10,55,кокс
seacoast,10,55,море
kidney,10,54,почка
perlite,10,54,перлит
rust,10,54,руст
butt,10,54,попка
murk,10,54,муть
forearm,10,54,предплечье
oat,10,54,оат
echo,10,54,эхо
wrinkle,10,54,морщинка
technique,10,54,техника
holts,10,54,лесистых холма
shirtfront,10,54,манишка
distance,10,54,расстояние
content,10,54,содержание
resistance,10,54,сопротивление
worm,10,54,червь
drawer,10,54,ящик
tights,10,54,колготки
band,10,53,группа
isle,10,53,остров
ammunition,10,53,боеприпас
lair,10,53,логово
exudation,10,53,экссудация
tarpaulin,10,53,брезент
refuge,10,53,убежище
resin,10,53,смола
tablecloth,10,53,скатерть
parcel,10,53,посылка
photograph,10,53,фотография
bristle,10,53,щетинка
thickness,10,53,толщина
heathland,10,53,пустошь
plug,10,53,вилка
fear,10,52,страх
bell,10,52,колокол
gnaw,10,52,грызть
knickers,10,52,шортик
cellophane,10,52,целлофан
headgear,10,52,головные убор
halo,10,52,гало
labyrinth,10,52,лабиринт
V,10,52,в
fug,10,52,духота
pallor,10,52,бледность
spoon,10,52,ложка
curiosity,10,52,любопытство
loaf,10,52,буханка
locker,10,52,шкафчик
snake,10,52,змея
wagon,10,51,вагон
mansion,10,51,особняк
tang,10,51,тан
tee,10,51,тройник
dullness,10,51,серость
underclothing,10,51,нижнее бельё
nappy,10,51,подгузник
sink,10,51,раковина
graveyard,10,51,кладбище
Dublin,10,51,дублин
close,10,51,ряд
frost,10,51,мороз
urchin,10,51,ёж
spinach,10,51,шпинат
blob,10,51,клякса
gather,10,51,собрать
Place,10,51,место
bedsheets,10,51,простыня
gunny,10,51,ганни
coating,10,51,покрытие
sandwich,10,50,сэндвич
blot,10,50,клякса
earthiness,10,50,приземленность
rank,10,50,ранг
mineral,10,50,минеральный
meadowlands,10,50,медоуленд
freight,10,50,организация
armful,10,50,охапка
stairwell,10,50,подъезд
profusion,10,50,обильность
cobweb,10,50,паутинка
hush,10,50,тиша
crescent,10,49,полумесяц
gingerbread,10,49,колобок
mean,10,49,значит
cooking,10,49,приготовление
stalk,10,49,сталк
noise,10,49,шум
burst,10,49,взрыв
buttock,10,49,ягодица
putty,10,49,шпатлевка
bedroll,10,49,скатка
oasis,10,49,оазис
bedsheet,10,49,простыня
tar,10,49,тара
spine,10,49,позвоночник
teatowel,10,49,teatowel
frock,10,49,платьице
squeeze,10,49,выжать
hardwood,10,48,деревянный
mouldering,10,48,трухлявый
behind,10,48,позади
parking,10,48,парковка
explodes,10,48,взрываться
parlour,10,48,салон
camisole,10,48,камзол
haystack,10,48,сена
breeding,10,48,селекция
cypress,10,48,кипарис
parka,10,48,куртка
march,10,48,март
slap,10,48,шлепок
scenery,10,48,пейзаж
soaking,10,48,замачивание
slipper,10,48,туфелька
cargo,10,48,груз
rocket,10,47,ракета
sandbag,10,47,мешок с пеский
show,10,47,показать
bunker,10,47,бункер
candle,10,47,свеча
summit,10,47,саммит
coniferous,10,47,хвойный
lobby,10,47,лобби
ivory,10,47,кот
dab,10,46,даб
ribbon,10,46,лента
stonework,10,46,каменная кладка
tin,10,46,олово
predawn,10,46,предрассветный
footwear,10,46,обувь
restaurant,10,46,ресторан
palace,10,46,дворец
sultriness,10,46,духота
trance,10,46,транс
fume,10,46,перегар
devotion,10,46,преданность
bale,10,46,бэйл
stump,10,46,пенёк
lawyer,10,46,адвокат
stub,10,45,стаб
flax,10,45,лена
belonging,10,45,принадлежность
yarn,10,45,пряжа
alluvium,10,45,намыв
terrace,10,45,терраса
affair,10,45,дело
sulphur,10,45,сера
coursing,10,45,курсинга
whiteness,10,45,белизна
trash,10,45,мусор
pole,10,45,полюс
pillowcase,10,45,наволочка
function,10,45,функция
terrycloth,10,45,махровый
skull,10,45,череп
channel,10,45,канал
richness,10,45,богатство
precipitate,10,45,осадка
Spring,10,45,весна
remains,10,45,оставаться
carriage,10,45,перевозка
drying,10,44,сушка
wrapper,10,44,фантик
boy,10,44,мальчик
industry,10,44,промышленность
womb,10,44,утроба
husk,10,44,лузга
riverbank,10,44,река
bean,10,44,фасоль
sty,10,44,сты
puff,10,44,слойка
school,10,44,школа
spark,10,44,искра
Britain,10,44,великобритания
resistant,10,44,стойкий
cup,10,44,кубок
outhouse,10,44,времянка
off,10,43,от
library,10,43,библиотека
bay,10,43,залив
wetness,10,43,влажность
storehouse,10,43,склад
bathrobe,10,43,халат
loneliness,10,43,одиночество
mahogany,10,43,махагон
journal,10,43,журнал
wallet,10,43,кошелёк
stack,10,43,стек
entry,10,43,запись
backyard,10,43,задворк
charnel,10,43,чарнела
counterpane,10,42,одеяло
shock,10,42,шок
frame,10,42,рамка
forefinger,10,42,указательный палец
comfort,10,42,комфорт
chillness,10,42,холодный
rubble,10,42,щебень
discouragement,10,42,уныние
haunt,10,42,мерещиться
lot,10,42,много
theatre,10,42,театр
army,10,42,армия
cocoon,10,42,кокон
vine,10,42,вайн
camping,10,41,кемпинг
mystery,10,41,тайна
guano,10,41,гуано
cranny,10,41,трещинка
torch,10,41,факел
vigil,10,41,демиург
shale,10,41,сланец
foil,10,41,фольга
ache,10,41,боль
burn,10,41,сжечь
elm,10,41,эльма
issue,10,41,вопрос
coffin,10,41,гроб
ghost,10,41,призрак
cubicle,10,41,кабина
kid,10,41,ребёнок
patio,10,41,патио
fissure,10,40,трещина
pantry,10,40,кладовая
bridge,10,40,мост
humor,10,40,юмор
loggia,10,40,лоджия
reality,10,40,реальность
pottery,10,40,керамик
spoil,10,40,портить
underarms,10,40,подмышка
tub,10,40,ванна
punishment,10,40,наказание
Seattle,10,40,сиэтл
pallet,10,40,поддон
emerald,10,40,изумруд
